C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0032,0.503,0.372,0.549,0.566,1,1.0000
C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0032,0.506,0.389,0.558,0.565,1,1.0000
C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0032,0.509,0.400,0.563,0.565,1,1.0000
C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0040,0.480,0.391,0.543,0.605,1,1.0000
C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0084,0.327,0.372,0.389,0.614,1,1.0000
C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0084,0.332,0.387,0.394,0.615,1,1.0000
C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0084,0.334,0.406,0.410,0.615,1,1.0000
C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0084,0.622,0.357,0.680,0.570,1,1.0000
C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0084,0.618,0.371,0.674,0.576,1,1.0000
C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0084,0.617,0.401,0.676,0.581,1,1.0000
C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0084,0.327,0.372,0.389,0.614,1,1.0000
C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0084,0.332,0.387,0.394,0.615,1,1.0000
C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0084,0.334,0.406,0.410,0.615,1,1.0000
C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0084,0.622,0.357,0.680,0.570,1,1.0000
C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0084,0.618,0.371,0.674,0.576,1,1.0000
C_3_11_smp_su_09-09_17-46-00_a_aft_DF1,0084,0.617,0.401,0.676,0.581,1,1.0000
C_3_4_smp_cl_09-08_13-44-00_b_aft_DF1,0028,0.696,0.348,0.745,0.545,1,1.0000
C_3_4_smp_cl_09-08_13-44-00_b_aft_DF1,0028,0.700,0.333,0.761,0.523,1,1.0000
C_3_4_smp_cl_09-08_13-44-00_b_aft_DF1,0028,0.712,0.328,0.758,0.520,1,1.0000
C_3_4_smp_cl_09-08_13-44-00_b_aft_DF1,0068,0.680,0.378,0.742,0.589,1,1.0000
C_3_4_smp_cl_09-08_13-44-00_b_aft_DF1,0068,0.664,0.370,0.734,0.611,1,1.0000
C_3_4_smp_cl_09-08_13-44-00_b_aft_DF1,0068,0.646,0.367,0.713,0.627,1,1.0000
C_3_9_smp_su_09-09_10-38-00_c_for_DF1,0016,0.258,0.261,0.309,0.410,1,1.0000
C_3_9_smp_su_09-09_10-38-00_c_for_DF1,0016,0.244,0.245,0.309,0.411,1,1.0000
C_3_9_smp_su_09-09_10-38-00_c_for_DF1,0016,0.223,0.240,0.290,0.411,1,1.0000
C_3_9_smp_su_09-09_10-38-00_c_for_DF1,0036,0.199,0.276,0.317,0.408,1,1.0000
C_3_9_smp_su_09-09_10-38-00_c_for_DF1,0036,0.213,0.272,0.309,0.408,1,1.0000
C_3_9_smp_su_09-09_10-38-00_c_for_DF1,0036,0.221,0.240,0.284,0.409,1,1.0000
C_3_9_smp_su_09-09_10-38-00_c_for_DF1,0104,0.282,0.254,0.328,0.455,1,1.0000
C_3_9_smp_su_09-09_10-38-00_c_for_DF1,0104,0.291,0.255,0.329,0.452,1,1.0000
C_3_9_smp_su_09-09_10-38-00_c_for_DF1,0104,0.295,0.265,0.330,0.454,1,1.0000
